sample.id	cluster.jake
Hastkar_502	1
Hastkar_503	1
Hastkar_505	1
Hastkar_507	1
Hastkar_508	1
Hastkar_510	1
Hastkar_512	1
Hastkar_513	1
Hastkar_514	1
Hastkar_515	1
Hastkar_518	1
Hastkar_522	1
Hastkar_524	1
Hastkar_526	1
Hastkar_528	2
Hastkar_530	1
Hastkar_531	1
Hastkar_534	1
Hastkar_539	1
Hastkar_543	1
Hastkar_546	1
Hastkar_553	1
Hastkar_554	1
Hastkar_556	1
Hastkar_558	1
Hastkar_560	1
Hastkar_561	1
Hastkar_562	1
Hastkar_564	1
Hastkar_565	1
Hastkar_566	1
Hastkar_567	1
Hastkar_571	1
Hastkar_573	3
Hastkar_575	1
Hastkar_577	1
Hastkar_583	1
Hastkar_584	2
Hastkar_586	1
Hastkar_587	2
Hastkar_589	1
Hastkar_593	1
Hastkar_594	1
Hastkar_596	1
Hastkar_597	1
Hastkar_598	1
Hastkar_600	1
Hastkar_601	2
Hastkar_602	1
Hastkar_603	1
Hastkar_605	1
Hastkar_610	1
Hastkar_613	1
Hastkar_614	1
Hastkar_616	1
Hastkar_617	1
Hastkar_622	1
Hastkar_625	1
Hastkar_626	1
Hastkar_627	1
Hastkar_628	2
Hastkar_629	1
Hastkar_630	1
Hastkar_631	1
Hastkar_633	1
Hastkar_634	1
Hastkar_638	1
Hastkar_641	1
Hastkar_642	1
Hastkar_643	1
Hastkar_644	1
Hastkar_646	1
Hastkar_648	1
Hastkar_650	1
Hastkar_652	1
Hastkar_653	1
Hastkar_654	1
Hastkar_655	1
Hastkar_662	1
Hastkar_663	2
Hastkar_666	1
Hastkar_670	1
Hastkar_671	1
Hastkar_673	1
Hastkar_674	1
Hastkar_679	1
Hastkar_680	2
Hastkar_682	1
Hastkar_683	1
Hastkar_686	1
Hastkar_687	1
Hastkar_690	1
Hastkar_692	1
Hastkar_694	1
Hastkar_695	1
Hastkar_698	1
Hastkar_700	1
Hastkar_701	1
Hastkar_703	1
Hastkar_704	1
Hastkar_705	1
Hastkar_707	1
Hastkar_709	2
Hastkar_710	1
Hastkar_711	1
Hastkar_712	1
Hastkar_713	1
Hastkar_714	1
Hastkar_715	1
Hastkar_717	1
Hastkar_721	1
Hastkar_722	2
Hastkar_723	1
Hastkar_724	1
Hastkar_725	1
Hastkar_726	1
Hastkar_730	3
Hastkar_737	1
Hastkar_738	1
Hastkar_740	1
Hastkar_743	1
Hastkar_744	1
Hastkar_745	1
Hastkar_746	1
Hastkar_747	1
Hastkar_749	1
Hastkar_750	1
Hastkar_751	1
Hastkar_753	1
Hastkar_756	1
Hastkar_758	1
Hastkar_759	1
Hastkar_761	1
Hastkar_763	1
Hastkar_764	1
Hastkar_765	1
Hastkar_766	2
Hastkar_768	1
Hastkar_769	1
Hastkar_770	1
Hastkar_774	1
Hastkar_775	1
Hastkar_778	1
Hastkar_780	1
Hastkar_782	1
Hastkar_787	1
Hastkar_185	1
Hastkar_186	1
Hastkar_187	1
Hastkar_188	1
Hastkar_191	1
Hastkar_195	1
Hastkar_197	1
Hastkar_201	1
Hastkar_202	1
Hastkar_206	1
Hastkar_207	1
Hastkar_208	1
Hastkar_210	1
Hastkar_217	2
Hastkar_218	2
Hastkar_219	1
Hastkar_222	1
Hastkar_230	1
Hastkar_231	1
Hastkar_232	1
Hastkar_234	1
Hastkar_236	1
Hastkar_244	1
Hastkar_248	2
Hastkar_250	1
Hastkar_251	1
Hastkar_255	2
Hastkar_256	1
Hastkar_257	2
Hastkar_263	1
Hastkar_264	1
Hastkar_266	1
Hastkar_267	1
Hastkar_269	1
Hastkar_270	1
Hastkar_271	1
Hastkar_272	1
Hastkar_275	1
Hastkar_276	1
Hastkar_277	1
Hastkar_282	1
Hastkar_284	1
Hastkar_285	1
Hastkar_287	1
Hastkar_288	3
Hastkar_294	1
Hastkar_300	2
Hastkar_302	1
Hastkar_303	1
Hastkar_304	1
Hastkar_307	3
Hastkar_308	1
Hastkar_310	1
Hastkar_312	1
Hastkar_314	1
Hastkar_315	1
Hastkar_317	1
Hastkar_320	2
Hastkar_322	1
Hastkar_324	1
Hastkar_325	2
Hastkar_326	1
Hastkar_328	1
Hastkar_330	1
Hastkar_331	2
Hastkar_332	1
Hastkar_333	1
Hastkar_335	3
Hastkar_336	1
Hastkar_341	1
Hastkar_342	1
Hastkar_344	1
Hastkar_345	1
Hastkar_346	1
Hastkar_347	1
Hastkar_348	1
Hastkar_349	1
Hastkar_352	1
Hastkar_354	3
Hastkar_355	1
Hastkar_356	1
Hastkar_358	1
Hastkar_360	1
Hastkar_363	1
Hastkar_364	1
Hastkar_365	1
Hastkar_366	1
Hastkar_368	1
Hastkar_369	1
Hastkar_370	1
Hastkar_371	1
Hastkar_372	1
Hastkar_375	1
Hastkar_376	1
Hastkar_377	1
Hastkar_378	1
Hastkar_380	1
Hastkar_381	1
Hastkar_383	1
Hastkar_384	1
Hastkar_385	1
Hastkar_386	1
Hastkar_387	1
Hastkar_388	1
Hastkar_389	1
Hastkar_390	1
Hastkar_392	1
Hastkar_394	1
Hastkar_395	1
Hastkar_396	1
Hastkar_397	1
Hastkar_398	1
Hastkar_400	1
Hastkar_403	1
Hastkar_404	1
Hastkar_405	1
Hastkar_406	3
Hastkar_409	1
Hastkar_410	1
Hastkar_412	1
Hastkar_415	1
Hastkar_417	1
Hastkar_418	1
Hastkar_423	1
Hastkar_425	3
Hastkar_428	1
Hastkar_429	1
Hastkar_437	1
Hastkar_439	1
Hastkar_440	1
Hastkar_443	1
Hastkar_444	1
Hastkar_446	1
Hastkar_447	1
Hastkar_448	1
Hastkar_449	1
Hastkar_450	1
Hastkar_452	1
Hastkar_454	3
Hastkar_455	3
Hastkar_456	1
Hastkar_457	2
Hastkar_788	1
Hastkar_789	1
Hastkar_791	1
Hastkar_792	1
Hastkar_794	1
Hastkar_797	1
Hastkar_798	1
Hastkar_801	1
Hastkar_803	1
Hastkar_805	1
Hastkar_807	1
Hastkar_808	3
Hastkar_810	1
Hastkar_811	1
Hastkar_814	1
Hastkar_815	1
Hastkar_818	1
Hastkar_820	1
Hastkar_821	1
Hastkar_823	1
Hastkar_824	2
Hastkar_825	1
Hastkar_829	1
Hastkar_830	2
Hastkar_833	1
Hastkar_835	1
Hastkar_836	1
Hastkar_841	3
Hastkar_842	1
Hastkar_843	1
Hastkar_846	1
Hastkar_848	1
Hastkar_851	1
Hastkar_853	1
Hastkar_854	1
Hastkar_855	1
Hastkar_856	1
Hastkar_857	1
Hastkar_858	1
Hastkar_859	1
Hastkar_860	1
Hastkar_861	1
Hastkar_864	1
Hastkar_868	1
Hastkar_869	1
Hastkar_871	1
Hastkar_872	1
Hastkar_876	3
Hastkar_878	1
Hastkar_879	1
Hastkar_880	1
Hastkar_882	1
Hastkar_884	1
Hastkar_886	1
Hastkar_887	1
Hastkar_888	1
Hastkar_889	1
Hastkar_890	1
Hastkar_896	1
Hastkar_897	1
Hastkar_899	1
Hastkar_902	1
Hastkar_905	2
Hastkar_914	1
Hastkar_916	1
Hastkar_917	1
Hastkar_918	1
Hastkar_919	1
Hastkar_924	1
Hastkar_927	1
Hastkar_929	1
Hastkar_930	1
Hastkar_931	1
Hastkar_932	1
Hastkar_934	3
Hastkar_936	1
Hastkar_937	1
Hastkar_943	1
Hastkar_945	1
Hastkar_947	3
Hastkar_948	1
Hastkar_951	1
Hastkar_952	1
Hastkar_953	1
Hastkar_955	1
Hastkar_956	1
Hastkar_957	1
Hastkar_959	1
Hastkar_963	1
Hastkar_964	1
Hastkar_965	1
Hastkar_967	1
Hastkar_969	1
Hastkar_970	1
Hastkar_971	1
Hastkar_973	1
Hastkar_976	1
Hastkar_978	1
Hastkar_979	1
Hastkar_986	1
Hastkar_1	1
Hastkar_102	1
Hastkar_104	1
Hastkar_105	1
Hastkar_108	1
