sample.id	primary_spawning_cluster	fine_scale_spawning_cluster	Intermediate_Cluster_Detailed	new_clusters
1701-766	Autumn	Autumn	NA	all_others
1701-218	Autumn	Autumn	NA	all_others
1701-271	Autumn	Autumn	NA	all_others
1701-365	Autumn	Autumn	NA	all_others
1707-178	Autumn	Autumn	NA	all_others
1707-30	Autumn	Autumn	NA	all_others
1701-558	Spring	Spring	A	all_others
1701-674	Spring	Spring	A	all_others
1701-250	Spring	Spring	A	all_others
1701-266	Spring	Spring	A	all_others
1701-284	Spring	Spring	A	all_others
1701-328	Spring	Spring	A	all_others
1701-342	Spring	Spring	A	all_others
1701-364	Spring	Spring	A	all_others
1701-366	Spring	Spring	A	all_others
1701-384	Spring	Spring	A	all_others
1701-810	Spring	Spring	A	all_others
1701-820	Spring	Spring	A	all_others
1701-855	Spring	Spring	A	all_others
1701-876	Spring	Spring	A	all_others
1701-882	Spring	Spring	A	all_others
1701-896	Spring	Spring	A	all_others
1701-905	Spring	Spring	A	all_others
1707-104	Spring	Spring	A	all_others
1707-121	Spring	Spring	A	all_others
1701-508	Spring	Summer	A	Gavle
1701-528	Spring	Summer	A	Gavle
1701-546	Spring	Summer	A	Gavle
1701-584	Spring	Summer	A	Gavle
1701-586	Spring	Summer	A	Gavle
1701-587	Spring	Summer	A	Gavle
1701-593	Spring	Summer	A	Gavle
1701-594	Spring	Summer	A	Gavle
1701-600	Spring	Summer	A	Gavle
1701-603	Spring	Summer	A	Gavle
1701-614	Spring	Summer	A	Gavle
1701-616	Spring	Summer	A	Gavle
1701-617	Spring	Summer	A	Gavle
1701-626	Spring	Summer	A	Gavle
1701-627	Spring	Summer	A	Gavle
1701-628	Spring	Summer	A	Gavle
1701-641	Spring	Summer	A	Gavle
1701-648	Spring	Summer	A	Gavle
1701-654	Spring	Summer	A	Gavle
1701-662	Spring	Summer	A	Gavle
1701-663	Spring	Summer	A	Gavle
1701-666	Spring	Summer	A	Gavle
1701-680	Spring	Summer	A	Gavle
1701-692	Spring	Summer	A	Gavle
1701-694	Spring	Summer	A	Gavle
1701-695	Spring	Summer	A	Gavle
1701-701	Spring	Summer	A	Gavle
1701-709	Spring	Summer	A	Gavle
1701-713	Spring	Summer	A	Gavle
1701-715	Spring	Summer	A	Gavle
1701-725	Spring	Summer	A	Gavle
1701-726	Spring	Summer	A	Gavle
1701-738	Spring	Summer	A	Gavle
1701-745	Spring	Summer	A	Gavle
1701-747	Spring	Summer	A	Gavle
1701-749	Spring	Summer	A	Gavle
1701-756	Spring	Summer	A	Gavle
1701-764	Spring	Summer	A	Gavle
1701-780	Spring	Summer	A	Gavle
1701-187	Spring	Summer	A	Gavle
1701-188	Spring	Summer	A	Gavle
1701-195	Spring	Summer	A	Gavle
