sample.ID	TSHR	MYHC
Hastskar_184	Intermediate	Spring
Hastskar_185	Spring	Spring
Hastskar_186	Spring	Spring
Hastskar_187	Spring	Spring
Hastskar_188	Spring	Spring
Hastskar_189	Spring	Intermediate
Hastskar_190	Spring	Spring
Hastskar_191	Spring	Spring
Hastskar_192	Spring	Spring
Hastskar_193	Spring	Spring
Hastskar_194	Spring	Spring
Hastskar_195	Spring	Spring
Hastskar_196	Intermediate	Spring
Hastskar_197	Spring	Spring
Hastskar_198	Intermediate	Spring
Hastskar_199	Spring	Spring
Hastskar_200	Intermediate	Spring
Hastskar_201	Spring	Spring
Hastskar_202	Spring	Spring
Hastskar_203	Intermediate	Spring
Hastskar_204	Spring	Spring
Hastskar_205	Spring	Spring
Hastskar_206	Spring	Spring
Hastskar_207	Spring	Spring
Hastskar_208	Intermediate	Spring
Hastskar_209	Spring	Spring
Hastskar_210	Spring	Intermediate
Hastskar_211	Spring	Spring
Hastskar_212	Spring	Intermediate
Hastskar_213	NA	Spring
Hastskar_214	Spring	Spring
Hastskar_215	Spring	Spring
Hastskar_216	Spring	Spring
Hastskar_217	Autumn	Spring
Hastskar_218	Autumn	Intermediate
Hastskar_219	Spring	Spring
Hastskar_220	Intermediate	Intermediate
Hastskar_221	Spring	Spring
Hastskar_222	Spring	Intermediate
Hastskar_223	Spring	Intermediate
Hastskar_224	Autumn	Spring
Hastskar_225	Spring	Intermediate
Hastskar_226	Spring	Intermediate
Hastskar_227	NA	Spring
Hastskar_228	Spring	Spring
Hastskar_229	Intermediate	Spring
Hastskar_230	Spring	Spring
Hastskar_231	Intermediate	Spring
Hastskar_232	Spring	Spring
Hastskar_233	Spring	Spring
Hastskar_234	Spring	Spring
Hastskar_235	Intermediate	Spring
Hastskar_236	Spring	Spring
Hastskar_237	Spring	Spring
Hastskar_238	Intermediate	Intermediate
Hastskar_239	Spring	Spring
Hastskar_240	Spring	Spring
Hastskar_241	Spring	Spring
Hastskar_242	NA	Spring
Hastskar_243	Spring	Spring
Hastskar_244	Spring	Spring
Hastskar_245	Spring	Intermediate
Hastskar_246	NA	Spring
Hastskar_247	Intermediate	Spring
Hastskar_248	NA	Intermediate
Hastskar_249	Spring	Spring
Hastskar_250	Spring	Spring
Hastskar_251	Spring	Spring
Hastskar_252	NA	Spring
Hastskar_253	Spring	Spring
Hastskar_254	Intermediate	Spring
Hastskar_255	Autumn	Spring
Hastskar_256	Spring	Intermediate
Hastskar_257	Autumn	Spring
Hastskar_258	Spring	Spring
Hastskar_259	NA	Intermediate
Hastskar_260	Spring	Spring
Hastskar_261	Spring	Spring
Hastskar_262	Spring	Spring
Hastskar_263	Intermediate	Spring
Hastskar_264	Intermediate	Intermediate
Hastskar_265	Spring	Intermediate
Hastskar_266	Spring	Spring
Hastskar_267	NA	Spring
Hastskar_268	Autumn	Spring
Hastskar_269	Spring	Spring
Hastskar_270	Spring	Intermediate
Hastskar_271	Intermediate	NA
Hastskar_272	Spring	NA
Hastskar_273	Intermediate	Spring
Hastskar_274	NA	Spring
Hastskar_275	Intermediate	Intermediate
Hastskar_276	Spring	Spring
Hastskar_277	Intermediate	Intermediate
Hastskar_278	Intermediate	Spring
Hastskar_279	Spring	Spring
Hastskar_280	Spring	Spring
Hastskar_281	Intermediate	Spring
Hastskar_282	Spring	Spring
Hastskar_283	Spring	Spring
Hastskar_284	Spring	Spring
Hastskar_285	Spring	Intermediate
Hastskar_286	Spring	Spring
Hastskar_287	Spring	Spring
Hastskar_288	NA	Intermediate
Hastskar_289	Intermediate	Spring
Hastskar_290	Spring	Intermediate
Hastskar_291	Spring	Spring
Hastskar_292	Spring	Spring
Hastskar_293	Spring	NA
Hastskar_294	Spring	Intermediate
Hastskar_295	Intermediate	Spring
Hastskar_296	Intermediate	Spring
Hastskar_297	Spring	Spring
Hastskar_298	Spring	Spring
Hastskar_299	Spring	Spring
Hastskar_300	Autumn	Spring
Hastskar_301	Intermediate	Spring
Hastskar_302	Spring	Spring
Hastskar_303	Intermediate	Spring
Hastskar_304	Spring	Spring
Hastskar_305	Spring	Spring
Hastskar_306	Autumn	Autumn
Hastskar_307	NA	Spring
Hastskar_308	Spring	Spring
Hastskar_309	Intermediate	Spring
Hastskar_310	Intermediate	Spring
Hastskar_311	Spring	Spring
Hastskar_312	Spring	Spring
Hastskar_313	Spring	Intermediate
Hastskar_314	Spring	Spring
Hastskar_315	Spring	Spring
Hastskar_316	Spring	Spring
Hastskar_317	Spring	Spring
Hastskar_318	Intermediate	Spring
Hastskar_319	Intermediate	Intermediate
Hastskar_320	Autumn	Spring
Hastskar_321	Intermediate	Spring
Hastskar_322	Spring	Intermediate
Hastskar_323	Spring	Spring
Hastskar_324	Spring	Intermediate
Hastskar_325	Autumn	Intermediate
Hastskar_326	Spring	Autumn
Hastskar_327	Spring	Spring
Hastskar_328	Spring	Spring
Hastskar_329	Intermediate	Spring
Hastskar_330	Spring	Spring
Hastskar_331	Autumn	Intermediate
Hastskar_332	Spring	Spring
Hastskar_333	Spring	Spring
Hastskar_334	Spring	Spring
Hastskar_335	Autumn	Intermediate
Hastskar_336	Spring	Spring
Hastskar_337	Spring	Spring
Hastskar_338	Spring	Spring
Hastskar_339	Spring	Spring
Hastskar_340	NA	Spring
Hastskar_341	Intermediate	Spring
Hastskar_342	Spring	Spring
Hastskar_343	Spring	Spring
Hastskar_344	Spring	Spring
Hastskar_345	Spring	Spring
Hastskar_346	Intermediate	Spring
Hastskar_347	Spring	Autumn
Hastskar_348	Intermediate	Spring
Hastskar_349	Spring	NA
Hastskar_350	NA	Intermediate
Hastskar_351	Intermediate	Spring
Hastskar_352	Intermediate	Spring
Hastskar_353	Spring	Spring
Hastskar_354	Autumn	Spring
Hastskar_355	Spring	Spring
Hastskar_356	Spring	Spring
Hastskar_357	Spring	Spring
Hastskar_358	NA	Intermediate
Hastskar_359	NA	Intermediate
Hastskar_360	Intermediate	Spring
Hastskar_361	Spring	Intermediate
Hastskar_362	Intermediate	Spring
Hastskar_363	Spring	Spring
Hastskar_364	Spring	Spring
Hastskar_365	Intermediate	Autumn
Hastskar_366	Spring	Spring
Hastskar_367	Spring	Spring
Hastskar_368	Spring	Spring
Hastskar_369	Spring	Intermediate
Hastskar_370	Spring	Intermediate
Hastskar_371	Spring	Intermediate
Hastskar_372	Intermediate	Spring
Hastskar_373	Spring	Spring
Hastskar_374	Spring	Spring
Hastskar_375	Spring	Spring
Hastskar_376	Spring	Spring
Hastskar_377	Intermediate	Spring
Hastskar_378	Spring	Intermediate
Hastskar_379	Spring	Spring
Hastskar_380	Intermediate	Spring
Hastskar_381	Spring	Spring
Hastskar_382	Intermediate	Spring
Hastskar_383	Spring	Spring
Hastskar_384	Spring	Intermediate
Hastskar_385	Spring	Spring
Hastskar_386	Spring	Spring
Hastskar_387	Spring	NA
Hastskar_388	Spring	Spring
Hastskar_389	Spring	Spring
Hastskar_390	Spring	Spring
Hastskar_391	Spring	Spring
Hastskar_392	Intermediate	Spring
Hastskar_393	Spring	Spring
Hastskar_394	Spring	Spring
Hastskar_395	Spring	Spring
Hastskar_396	Spring	Spring
Hastskar_397	Intermediate	Spring
Hastskar_398	Intermediate	Spring
Hastskar_399	Intermediate	Spring
Hastskar_400	Spring	Spring
Hastskar_401	Spring	Spring
Hastskar_402	NA	Spring
Hastskar_403	Spring	Spring
Hastskar_404	Spring	Spring
Hastskar_405	Intermediate	Spring
Hastskar_406	NA	Spring
Hastskar_407	Spring	Spring
Hastskar_408	Spring	Spring
Hastskar_409	Spring	Spring
Hastskar_410	Spring	Spring
Hastskar_411	Spring	Spring
Hastskar_412	Spring	Autumn
Hastskar_413	Spring	Spring
Hastskar_414	Intermediate	Intermediate
Hastskar_415	Spring	Spring
Hastskar_416	Spring	Spring
Hastskar_417	Spring	Spring
Hastskar_418	Spring	Spring
Hastskar_419	Spring	Spring
Hastskar_420	Spring	Spring
Hastskar_421	Spring	Spring
Hastskar_422	Intermediate	Spring
Hastskar_423	Spring	Spring
Hastskar_424	NA	Spring
Hastskar_425	NA	Spring
Hastskar_426	Spring	Spring
Hastskar_427	Spring	Spring
Hastskar_428	Intermediate	Spring
