sample.id	location	region	spawning_season
1701-184	HastKar		
1701-185	HastKar		
1701-186	HastKar		
1701-187	HastKar		
1701-188	HastKar		
1701-189	HastKar		
1701-190	HastKar		
1701-191	HastKar		
1701-192	HastKar		
1701-193	HastKar		
1701-194	HastKar		
1701-195	HastKar		
1701-196	HastKar		
1701-197	HastKar		
1701-198	HastKar		
1701-199	HastKar		
1701-200	HastKar		
1701-201	HastKar		
1701-202	HastKar		
1701-203	HastKar		
1701-204	HastKar		
1701-205	HastKar		
1701-206	HastKar		
1701-207	HastKar		
1701-208	HastKar		
1701-209	HastKar		
1701-210	HastKar		
1701-211	HastKar		
1701-212	HastKar		
1701-213	HastKar		
1701-214	HastKar		
1701-215	HastKar		
1701-216	HastKar		
1701-217	HastKar		
1701-218	HastKar		
1701-219	HastKar		
1701-220	HastKar		
1701-221	HastKar		
1701-222	HastKar		
1701-223	HastKar		
1701-224	HastKar		
1701-225	HastKar		
1701-226	HastKar		
1701-227	HastKar		
1701-228	HastKar		
1701-229	HastKar		
1701-230	HastKar		
1701-231	HastKar		
1701-232	HastKar		
1701-233	HastKar		
1701-234	HastKar		
1701-235	HastKar		
1701-236	HastKar		
1701-237	HastKar		
1701-238	HastKar		
1701-239	HastKar		
1701-240	HastKar		
1701-241	HastKar		
1701-242	HastKar		
1701-243	HastKar		
1701-244	HastKar		
1701-245	HastKar		
1701-246	HastKar		
1701-247	HastKar		
1701-248	HastKar		
1701-249	HastKar		
1701-250	HastKar		
1701-251	HastKar		
1701-252	HastKar		
1701-253	HastKar		
1701-254	HastKar		
1701-255	HastKar		
1701-256	HastKar		
1701-257	HastKar		
1701-258	HastKar		
1701-259	HastKar		
1701-260	HastKar		
1701-261	HastKar		
1701-262	HastKar		
1701-263	HastKar		
1701-264	HastKar		
1701-265	HastKar		
1701-266	HastKar		
1701-267	HastKar		
1701-268	HastKar		
1701-269	HastKar		
1701-270	HastKar		
1701-271	HastKar		
1701-272	HastKar		
1701-273	HastKar		
1701-274	HastKar		
1701-275	HastKar		
1701-276	HastKar		
1701-277	HastKar		
1701-278	HastKar		
1701-279	HastKar		
1701-280	HastKar		
1701-281	HastKar		
1701-282	HastKar		
1701-283	HastKar		
1701-284	HastKar		
1701-285	HastKar		
1701-286	HastKar		
1701-287	HastKar		
1701-288	HastKar		
1701-289	HastKar		
1701-290	HastKar		
1701-291	HastKar		
1701-292	HastKar		
1701-293	HastKar		
1701-294	HastKar		
1701-295	HastKar		
1701-296	HastKar		
1701-297	HastKar		
1701-298	HastKar		
1701-299	HastKar		
1701-300	HastKar		
1701-301	HastKar		
1701-302	HastKar		
1701-303	HastKar		
1701-304	HastKar		
1701-305	HastKar		
1701-306	HastKar		
1701-307	HastKar		
1701-308	HastKar		
1701-309	HastKar		
1701-310	HastKar		
1701-311	HastKar		
1701-312	HastKar		
1701-313	HastKar		
1701-314	HastKar		
1701-315	HastKar		
1701-316	HastKar		
1701-317	HastKar		
1701-318	HastKar		
1701-319	HastKar		
1701-320	HastKar		
1701-321	HastKar		
1701-322	HastKar		
1701-323	HastKar		
1701-324	HastKar		
1701-325	HastKar		
1701-326	HastKar		
1701-327	HastKar		
1701-328	HastKar		
1701-329	HastKar		
1701-330	HastKar		
1701-331	HastKar		
1701-332	HastKar		
1701-333	HastKar		
1701-334	HastKar		
1701-335	HastKar		
1701-336	HastKar		
1701-337	HastKar		
1701-338	HastKar		
1701-339	HastKar		
1701-340	HastKar		
1701-341	HastKar		
1701-342	HastKar		
1701-343	HastKar		
1701-344	HastKar		
1701-345	HastKar		
1701-346	HastKar		
1701-347	HastKar		
1701-348	HastKar		
1701-349	HastKar		
1701-350	HastKar		
1701-351	HastKar		
1701-352	HastKar		
1701-353	HastKar		
1701-354	HastKar		
1701-355	HastKar		
1701-356	HastKar		
1701-357	HastKar		
1701-358	HastKar		
1701-359	HastKar		
1701-360	HastKar		
1701-361	HastKar		
1701-362	HastKar		
1701-363	HastKar		
1701-364	HastKar		
1701-365	HastKar		
1701-366	HastKar		
1701-367	HastKar		
1701-368	HastKar		
1701-369	HastKar		
1701-370	HastKar		
1701-371	HastKar		
1701-372	HastKar		
1701-373	HastKar		
1701-374	HastKar		
1701-375	HastKar		
1701-376	HastKar		
1701-377	HastKar		
1701-378	HastKar		
1701-379	HastKar		
1701-380	HastKar		
1701-381	HastKar		
1701-382	HastKar		
1701-383	HastKar		
1701-384	HastKar		
1701-385	HastKar		
1701-386	HastKar		
1701-387	HastKar		
1701-388	HastKar		
1701-389	HastKar		
1701-390	HastKar		
1701-391	HastKar		
1701-392	HastKar		
1701-393	HastKar		
1701-394	HastKar		
1701-395	HastKar		
1701-396	HastKar		
1701-397	HastKar		
1701-398	HastKar		
1701-399	HastKar		
1701-400	HastKar		
1701-401	HastKar		
1701-402	HastKar		
1701-403	HastKar		
1701-404	HastKar		
