,body_length,body_weight,VS
947,22.8,80.8,56
967,20.4,68.1,55
1,21,64.5,57
10,21.7,70.5,56
100,21,67.9,NA
101,18.9,57,56
102,19.2,56.9,56
104,20.9,65.8,56
105,19.1,49.8,56
106,19.6,58.6,NA
107,21.9,78,NA
108,21.6,69.3,57
109,20.8,60.3,55
11,20.2,54.7,NA
110,19.8,49.8,55
111,19.3,48.8,55
112,19.4,45.4,56
113,19.9,64.2,55
114,16.4,30,NA
115,21.1,60.3,55
116,21.2,64.9,55
117,19.6,50.3,NA
118,22.5,69,55
119,20.9,66.2,NA
12,24.2,94.5,55
121,18.9,51.3,55
122,20.4,56.2,57
123,22.5,70.4,55
124,22.5,84.1,55
125,20.9,54.2,56
126,21,74.1,55
127,21.7,73.9,56
128,22,80,55
129,25.7,110.1,57
13,21.5,91.6,55
130,20.5,59.9,56
131,19.5,52.7,55
132,22.4,94.7,57
133,20.4,55.1,56
134,20.5,66.5,56
135,22,78.4,56
136,29,59.7,56
137,20.8,59.8,56
138,19.5,49.2,56
139,20.8,64.5,56
14,20.5,66,55
140,19.1,56.6,56
141,19.7,47.7,56
142,20.6,62,55
143,20.9,71.1,55
144,19.8,53,56
145,19.8,55.4,56
146,18.6,44.8,NA
147,19.5,45.3,55
148,20.5,59.8,55
149,20,59.6,56
15,20,60.5,56
150,19.4,43.5,56
151,21.5,64.6,56
152,21.4,69.4,56
153,18.4,39.9,55
154,19.7,49.1,55
155,23.5,95.5,55
156,21.3,61.5,55
157,21,66.6,56
158,20.8,75.8,55
159,19.7,52.6,55
16,19.5,54.1,55
160,21.5,71.6,55
161,19.2,52.1,55
162,21.4,86.6,56
163,20.5,66.3,55
164,20.2,59.7,56
165,19,50.5,55
166,21.1,60.5,56
167,21.6,65.3,55
168,19.8,61.2,55
169,22.1,72,56
17,20.3,57.2,55
170,18.8,46.5,55
171,20.7,66.2,55
172,19.3,58.9,57
173,20.1,58.5,55
174,19.6,60.4,55
175,20.7,50.6,55
176,22.9,87.7,55
177,20.6,58.2,56
178,21.4,64,55
179,21.5,85.8,55
18,20,53.3,55
180,18.8,49,55
181,20,53.3,56
182,20.2,59.4,55
183,20.3,66.3,55
184,20.8,76.8,56
185,19.5,58.6,55
186,18.7,49.2,55
187,18.2,45.4,55
188,21.4,64.1,56
189,19.7,49.6,55
19,19.5,52.8,55
190,20.7,60.2,56
191,20.7,59.1,56
192,22.4,76,55
193,20.5,59,NA
194,21.6,74.4,57
195,21.9,75.9,56
196,21.2,55.8,55
197,19.2,46.5,55
198,21.8,81.1,55
199,20.3,55,55
2,19.5,54.6,55
20,19.5,46.8,56
200,20.9,59.5,55
201,20.2,55.9,55
202,21.6,71.8,56
203,19.9,53.4,55
204,20.4,62.7,NA
205,20.2,65.3,55
206,23,88.3,55
207,21.9,77.3,56
208,21.4,81.4,55
209,20.7,58.9,55
21,24,95,55
211,21.8,79.8,55
212,22.2,77.1,55
213,20.2,56.9,55
214,19.3,51.8,55
215,19.4,51.6,55
216,20.1,63.7,55
217,21.5,72.3,55
218,20.2,57.1,56
219,20.3,51.4,56
22,24,100.9,55
220,21.7,67.5,57
221,19.4,44.1,55
222,20.7,64.9,56
223,20.8,62.6,55
224,21,60.8,55
225,19.7,53,55
226,19.7,53.6,55
227,20.1,61.1,55
228,20.4,51.9,55
229,20.6,57.8,56
23,20.5,68.4,NA
231,19.6,47.9,55
232,21.2,69.4,56
233,19.1,49,56
234,20.6,53.5,56
235,21.1,75.5,55
236,21.7,73.6,56
237,18.7,42.9,56
238,19.6,58.8,55
239,20.5,61.9,55
240,18.8,53.7,56
241,19.5,55.4,55
242,19.7,54.9,56
243,20.5,54.1,55
244,20.6,52.6,55
245,22.5,82.4,55
246,21.6,65.8,55
248,20.6,58,56
249,20.5,61.2,56
25,19,48.9,NA
250,18.5,46.6,55
251,20.5,67.2,56
252,23,89,55
253,21.1,83,56
254,18.4,49.8,NA
255,20.4,56.6,56
256,20.1,61,55
257,30.5,232.7,57
258,19.4,52.6,55
259,20.4,69.2,55
26,20,64.7,56
260,20.2,54.8,55
261,19,46,56
264,19.8,52.1,55
265,20.3,56.8,55
266,21.7,78,55
267,20.5,68.9,55
268,19.5,55.3,56
269,21.4,73.3,55
27,19,47.8,55
270,19.4,46.6,55
271,19.4,46.2,56
272,18.6,45.3,55
273,20.5,53.1,56
274,21.4,63.4,55
275,20.4,55.1,56
276,20.6,60.4,56
277,21.2,64.2,55
278,18.2,60.1,56
279,20.6,67.1,55
28,24.3,93.6,56
280,17.3,31.8,55
281,22.5,79.4,56
282,21.4,68.5,55
283,18.9,51.6,55
284,19.6,52.9,55
285,21.4,73.3,56
286,21.2,61.6,55
287,19.4,49.1,55
288,22.4,78.9,NA
289,21,66.3,55
29,21.2,65.7,55
290,21.5,66.3,56
291,20.9,65.4,55
292,19.9,54.3,55
293,17.9,39.3,55
294,21.2,73.8,56
295,19.2,47,56
296,20.5,70.4,55
297,19.2,49.6,56
298,20.6,58.8,NA
299,19.5,56,NA
3,19.8,46.2,55
30,21.5,74.8,57
300,21.6,68.5,56
301,21.6,66.7,55
302,20.9,54.4,56
303,20.7,67,NA
304,20.2,69.9,NA
305,19.9,52.8,55
306,21.4,80,56
307,20.2,56.3,56
308,21.6,71.5,56
309,22.1,76.7,55
31,20.5,59.2,57
310,20.6,66.1,56
311,19.9,56.9,55
312,20,59.2,56
313,18.1,40.2,56
314,19.8,63,55
315,17.5,40.7,55
316,19.8,49.7,56
317,21,58.8,55
318,21.1,62.9,56
319,19.8,55.4,56
32,23.5,85.4,55
320,26.4,129.7,56
321,21.2,64.5,55
322,20.7,56.9,55
323,20.5,65.7,55
324,20.9,67.2,55
325,22.9,86.6,55
326,20.4,64.5,56
327,19.1,43.8,55
328,21.6,69.7,55
329,22.3,82.8,55
33,20.8,67.5,55
330,20.2,55,57
331,19.4,53.4,56
332,21.4,68.6,56
333,19.9,54,55
334,21.4,72.5,56
335,20.4,60.3,55
336,21.3,74.8,55
337,22.5,82.9,55
338,21.3,65.1,55
339,19.4,53.9,55
340,20.6,58.2,55
342,21,64.1,56
343,20.4,56.9,57
344,19.2,47.4,56
345,24.7,103.9,57
346,20.6,68,55
347,19.6,47.5,56
348,21,63.9,55
