sample_ID age maturity gonad_weight MOD LC Diam.min Diam.max Diam.sd SW K GSI GSIs Fec Rfec RfecS RfecTL3 ID_2
0 D D P P P P P P P P P P P P P P D
Hastkar_1 5 5 5.36 1017 1068 909 1109 33.3 53.0 0.70 17.78 21.63 14.522 225 274 157 1
Hastkar_2 5 5 4.00 1084 1144 1014 1174 34.9 46.0 0.74 15.68 18.59 9.188 168 200 124 2
Hastkar_3 3 6 2.11 1003 1074 924 1153 41.5 41.7 0.60 9.77 10.83 5.932 128 142 76 3
Hastkar_4 5 5 5.99 991 1040 912 1110 30.7 47.0 0.75 21.44 27.28 17.339 290 369 217 4
Hastkar_5 10 5 12.56 988 1039 900 1050 29.6 121.1 0.69 18.16 22.19 36.700 248 303 171 5
Hastkar_6 4 5 7.03 1085 1148 989 1195 41.2 53.8 0.80 21.87 27.99 16.123 234 300 187 6
Hastkar_7 5 5 7.87 1077 1133 968 1166 37.3 65.5 0.79 20.46 25.73 18.374 223 281 177 7
Hastkar_8 6 5 6.47 1059 1121 932 1204 41.5 59.1 0.62 18.99 23.45 15.796 217 267 133 8
Hastkar_10 7 6 6.77 984 1042 886 1083 37.2 56.0 0.69 20.55 25.87 19.998 284 357 196 10
Hastkar_11 10 5 6.36 1024 1082 936 1109 34.9 41.1 0.66 24.88 33.12 16.922 309 412 205 11
Hastkar_12 4 6 NA 995 1061 657 1146 51.8 NA 0.67 NA NA NA NA NA NA 12
Hastkar_13 7 6 6.89 1100 1189 965 1222 48.8 76.9 0.92 16.10 19.18 15.234 166 198 153 13
Hastkar_14 7 5 6.50 1018 1076 948 1159 35.0 52.1 0.77 21.08 26.70 17.579 266 337 204 14
Hastkar_15 6 6 2.74 1027 1099 893 1152 47.3 54.6 0.76 9.69 10.73 7.234 120 132 90 15
Hastkar_16 5 6 5.69 1061 1116 983 1152 34.3 41.9 0.73 22.51 29.04 13.824 256 330 186 16
Hastkar_17 6 6 4.50 999 1044 901 1069 30.3 47.6 0.68 16.84 20.24 12.777 223 269 153 17
Hastkar_18 5 6 3.72 984 1039 884 1070 34.5 45.3 0.67 14.94 17.56 10.978 206 242 137 18
Hastkar_19 6 5 4.07 952 1008 833 1057 38.2 44.1 0.71 16.50 19.75 13.087 248 297 177 19
Hastkar_20 8 5 3.73 982 1045 879 1106 40.0 38.8 0.63 17.06 20.56 11.068 236 285 149 20
Hastkar_21 4 6 5.14 987 1036 929 1074 30.5 84.0 0.69 11.58 13.09 15.041 158 179 109 21
Hastkar_22 4 5 9.74 1011 1101 885 1171 52.7 80.1 0.73 20.66 26.04 26.821 266 335 194 22
Hastkar_23 8 5 7.68 1068 1177 916 1298 61.5 52.0 0.79 24.03 31.63 18.322 268 353 213 23
Hastkar_25 5 6 5.93 1027 1081 907 1213 40.0 36.2 0.71 25.95 35.05 15.681 321 433 229 25
Hastkar_26 6 6 5.47 977 1033 877 1089 38.0 53.0 0.81 18.09 22.09 16.434 254 310 205 26
Hastkar_27 5 6 2.72 1040 1124 959 1146 40.7 42.0 0.70 12.18 13.87 6.960 146 166 101 27
Hastkar_28 4 6 5.09 927 978 848 1051 30.5 82.7 0.65 11.64 13.17 17.513 187 212 122 28
Hastkar_29 4 6 4.41 982 1028 906 1083 31.6 56.3 0.69 14.36 16.77 13.077 199 232 137 29
Hastkar_30 5 5 10.35 999 1088 879 1149 54.1 52.7 0.75 29.61 42.07 29.355 392 558 295 30
Hastkar_31 7 6 4.65 1024 1087 911 1156 38.9 49.2 0.69 16.81 20.21 12.389 209 252 144 31
Hastkar_32 8 6 7.42 1030 1088 936 1147 38.9 69.5 0.66 18.59 22.84 19.457 228 280 150 32
Hastkar_33 6 6 7.34 981 1034 896 1058 34.7 51.8 0.75 23.27 30.33 21.865 324 422 243 33
Hastkar_35 6 6 5.32 1121 1192 1026 1225 41.7 41.5 0.66 21.52 27.42 11.209 212 270 140 35
Hastkar_36 6 6 5.43 960 1015 853 1049 38.3 52.5 0.68 18.13 22.14 17.067 266 325 182 36
Hastkar_37 6 5 6.90 1030 1089 904 1129 35.1 40.9 0.74 26.51 36.07 18.091 325 442 240 37
Hastkar_38 5 5 6.38 988 1054 907 1082 39.0 43.1 0.67 24.04 31.64 18.622 328 432 219 38
Hastkar_39 5 5 3.50 912 956 843 989 27.4 38.1 0.68 16.43 19.65 12.561 275 330 186 39
Hastkar_40 4 6 6.00 1018 1098 904 1143 46.5 85.7 0.67 13.04 14.99 16.206 165 189 110 40
Hastkar_41 7 5 6.75 1039 1117 924 1203 47.4 52.9 0.78 21.46 27.33 17.290 257 327 201 41
Hastkar_42 4 5 8.08 1003 1048 943 1091 29.1 56.0 0.79 23.59 30.87 22.688 310 405 245 42
Hastkar_44 6 5 6.15 1062 1129 950 1160 38.4 44.3 0.73 22.89 29.68 14.921 260 337 189 44
Hastkar_45 5 5 6.64 1043 1101 949 1124 33.9 44.1 0.73 24.37 32.23 16.855 289 382 211 45
Hastkar_46 7 5 7.64 1027 1083 946 1108 34.9 53.7 0.77 23.36 30.47 20.200 289 377 221 46
