ID age maturity gonad_weight ID_2
0 D D P D
Hastkar_24 6 5 10.21 24
Hastkar_53 5 6 14.87 53
Hastkar_103 5 5 19.58 103
Hastkar_501 5 4 1.77 501
Hastkar_502 6 5 9.33 502
Hastkar_503 6 5 9.41 503
Hastkar_504 8 5 12.06 504
Hastkar_505 6 5 8.14 505
Hastkar_506 6 5 14.47 506
Hastkar_507 7 5 16.07 507
Hastkar_508 4 5 3.18 508
Hastkar_509 5 5 11.16 509
Hastkar_510 6 5 6.95 510
Hastkar_511 4 5 12.49 511
Hastkar_512 6 5 5.45 512
Hastkar_513 7 4 2.15 513
Hastkar_514 8 5 6.69 514
Hastkar_515 4 5 11.92 515
Hastkar_516 5 5 4.98 516
Hastkar_517 3 5 10.34 517
Hastkar_518 7 5 10.88 518
Hastkar_519 5 5 12.24 519
Hastkar_520 5 5 5.32 520
Hastkar_521 7 5 9.24 521
Hastkar_522 6 5 13.57 522
Hastkar_523 5 5 6.29 523
Hastkar_524 7 5 4.59 524
Hastkar_525 6 5 12.28 525
Hastkar_526 6 4 3.39 526
Hastkar_527 6 5 5.90 527
Hastkar_528 6 5 20.45 528
Hastkar_529 6 5 10.87 529
Hastkar_530 5 5 5.55 530
Hastkar_531 4 5 8.03 531
Hastkar_532 5 5 6.50 532
Hastkar_533 6 6 2.54 533
Hastkar_534 5 4 5.71 534
Hastkar_535 6 5 7.55 535
Hastkar_536 4 7 3.52 536
Hastkar_537 7 5 11.22 537
Hastkar_538 8 6 7.64 538
Hastkar_539 7 5 15.68 539
Hastkar_540 6 5 12.32 540
Hastkar_541 6 5 11.29 541
Hastkar_542 5 5 4.04 542
Hastkar_543 6 5 9.47 543
Hastkar_544 7 6 11.28 544
Hastkar_545 7 5 4.66 545
Hastkar_546 7 6 7.00 546
Hastkar_547 7 5 9.23 547
Hastkar_548 6 5 12.28 548
Hastkar_549 6 7 1.57 549
Hastkar_550 9 5 15.98 550
Hastkar_551 6 5 3.90 551
Hastkar_552 6 5 4.80 552
Hastkar_553 6 5 10.52 553
Hastkar_554 8 6 7.83 554
Hastkar_555 5 4 4.02 555
Hastkar_556 6 5 10.32 556
Hastkar_557 5 5 11.11 557
Hastkar_558 5 6 1.25 558
Hastkar_559 6 5 6.79 559
Hastkar_560 8 6 6.69 560
Hastkar_561 8 6 8.93 561
Hastkar_562 7 5 11.82 562
Hastkar_563 6 5 8.58 563
Hastkar_564 4 5 17.36 564
Hastkar_565 8 6 7.11 565
Hastkar_566 6 6 8.35 566
Hastkar_567 4 5 7.79 567
Hastkar_568 6 6 9.43 568
Hastkar_569 6 5 5.73 569
Hastkar_570 7 5 4.40 570
Hastkar_571 5 6 8.89 571
Hastkar_572 7 5 10.45 572
Hastkar_573 8 6 10.04 573
Hastkar_574 4 6 8.76 574
Hastkar_575 9 6 8.33 575
Hastkar_576 5 5 8.60 576
Hastkar_577 7 5 8.93 577
Hastkar_578 9 6 8.47 578
Hastkar_579 7 5 7.22 579
Hastkar_580 6 5 5.34 580
Hastkar_581 7 5 7.85 581
Hastkar_582 6 5 5.03 582
Hastkar_583 6 5 12.11 583
Hastkar_584 6 5 8.61 584
Hastkar_585 6 5 9.57 585
Hastkar_586 5 5 13.76 586
Hastkar_587 4 6 14.08 587
Hastkar_588 6 5 7.00 588
Hastkar_589 7 5 10.58 589
Hastkar_590 6 5 15.01 590
Hastkar_591 7 6 3.72 591
Hastkar_592 5 5 5.94 592
Hastkar_593 4 6 9.74 593
Hastkar_594 7 6 7.77 594
Hastkar_595 6 6 2.38 595
Hastkar_596 5 5 11.70 596
Hastkar_597 7 5 11.27 597
Hastkar_598 6 5 14.74 598
Hastkar_599 5 5 10.64 599
Hastkar_600 8 5 8.90 600
Hastkar_601 6 5 13.22 601
Hastkar_602 4 6 6.92 602
Hastkar_603 7 5 11.09 603
Hastkar_604 7 9 NA 604
Hastkar_605 6 6 10.38 605
Hastkar_606 7 4 3.78 606
Hastkar_607 5 5 8.71 607
Hastkar_608 9 5 8.04 608
Hastkar_609 4 5 11.12 609
Hastkar_610 5 5 11.19 610
Hastkar_611 7 5 5.55 611
Hastkar_612 6 5 7.56 612
Hastkar_613 5 5 6.18 613
Hastkar_614 5 5 7.19 614
Hastkar_615 7 5 10.10 615
Hastkar_616 6 6 4.79 616
Hastkar_617 9 7 4.12 617
Hastkar_618 6 6 6.02 618
Hastkar_619 5 5 13.44 619
Hastkar_620 5 5 8.97 620
Hastkar_621 6 5 14.25 621
Hastkar_622 8 5 4.31 622
Hastkar_623 7 9 NA 623
Hastkar_624 6 4 3.79 624
Hastkar_625 6 5 5.98 625
Hastkar_626 4 5 11.67 626
Hastkar_627 8 5 12.73 627
Hastkar_628 4 5 13.38 628
Hastkar_629 4 4 6.58 629
Hastkar_630 6 5 11.06 630
Hastkar_631 7 6 10.57 631
Hastkar_632 8 5 11.65 632
Hastkar_633 7 5 10.53 633
Hastkar_634 7 5 11.64 634
Hastkar_636 6 5 9.67 636
Hastkar_637 5 6 NA 637
Hastkar_638 7 6 9.39 638
Hastkar_639 6 5 11.27 639
Hastkar_640 5 5 7.27 640
Hastkar_641 8 5 14.67 641
Hastkar_642 6 5 12.19 642
Hastkar_643 6 5 8.02 643
Hastkar_644 5 5 8.85 644
Hastkar_645 4 5 8.47 645
Hastkar_646 9 5 11.85 646
Hastkar_647 8 5 10.09 647
Hastkar_648 6 5 11.16 648
Hastkar_649 6 5 7.18 649
Hastkar_650 7 5 7.88 650
Hastkar_651 5 5 15.31 651
Hastkar_652 4 6 7.11 652
Hastkar_653 6 5 11.27 653
Hastkar_654 8 5 10.48 654
Hastkar_655 6 6 5.4 655
Hastkar_656 8 5 12.46 656
Hastkar_657 6 6 8.59 657
Hastkar_658 7 6 7.58 658
Hastkar_659 5 6 4.15 659
Hastkar_660 6 4 6.16 660
Hastkar_661 7 5 6.13 661
Hastkar_662 7 6 12.54 662
Hastkar_663 5 5 7.23 663
Hastkar_664 7 5 14.12 664
Hastkar_665 7 6 9.96 665
Hastkar_666 4 5 16.72 666
Hastkar_667 7 6 7.07 667
Hastkar_669 4 6 NA 669
Hastkar_670 7 5 10.57 670
Hastkar_671 5 6 8.96 671
Hastkar_672 5 5 12.81 672
Hastkar_673 5 5 10.21 673
Hastkar_674 6 5 6.97 674
Hastkar_675 7 5 9.91 675
Hastkar_676 6 5 11.14 676
Hastkar_677 9 6 13.94 677
Hastkar_678 8 4 6.25 678
Hastkar_679 6 4 8.04 679
Hastkar_680 3 5 7.67 680
Hastkar_681 8 6 NA 681
Hastkar_682 6 5 14.67 682
Hastkar_683 9 5 9.68 683
Hastkar_684 8 5 13.21 684
Hastkar_685 6 5 10.9 685
Hastkar_686 9 4 2.13 686
Hastkar_687 6 5 8.12 687
Hastkar_688 5 5 9.83 688
Hastkar_689 7 5 7.71 689
Hastkar_690 7 5 11.74 690
Hastkar_691 10 5 13.28 691
Hastkar_692 8 5 12.65 692
Hastkar_693 5 5 9.55 693
Hastkar_694 6 4 4.67 694
Hastkar_695 5 4 4.72 695
Hastkar_696 6 5 8.74 696
Hastkar_697 5 5 6.32 697
Hastkar_698 7 5 5.42 698
Hastkar_699 8 5 12.84 699
Hastkar_700 8 5 12.07 700
Hastkar_701 5 5 12.62 701
Hastkar_702 4 6 NA 702
Hastkar_703 7 5 7.11 703
Hastkar_704 5 5 8.31 704
Hastkar_705 5 5 4.58 705
Hastkar_706 7 6 NA 706
Hastkar_707 7 5 8.50 707
Hastkar_708 4 6 3.37 708
Hastkar_709 8 6 10.16 709
Hastkar_710 6 5 8.14 710
Hastkar_711 7 5 10.86 711
Hastkar_712 6 6 5.81 712
Hastkar_713 7 5 10.78 713
Hastkar_714 6 5 9.00 714
Hastkar_715 6 6 9.70 715
Hastkar_716 8 5 10.80 716
Hastkar_717 7 5 10.45 717
Hastkar_718 7 6 9.08 718
Hastkar_719 8 5 10.39 719
Hastkar_720 5 6 NA 720
Hastkar_721 5 6 5.55 721
Hastkar_722 4 5 12.07 722
Hastkar_723 5 5 10.37 723
Hastkar_724 6 5 12.89 724
Hastkar_725 5 5 9.15 725
Hastkar_726 6 5 8.79 726
Hastkar_727 5 5 8.12 727
Hastkar_728 5 5 11.64 728
Hastkar_729 6 5 12.10 729
Hastkar_730 4 5 11.42 730
Hastkar_731 8 5 6.08 731
Hastkar_732 6 6 8.02 732
Hastkar_733 5 6 7.60 733
Hastkar_734 6 5 12.12 734
Hastkar_735 4 5 9.48 735
Hastkar_736 6 5 4.41 736
Hastkar_737 6 5 7.21 737
Hastkar_738 5 5 12.50 738
Hastkar_739 7 6 12.09 739
Hastkar_741 7 6 2.73 741
Hastkar_742 7 5 12.62 742
Hastkar_743 8 5 11.74 743
Hastkar_744 8 5 4.13 744
Hastkar_745 6 5 14.10 745
Hastkar_746 7 5 10.02 746
Hastkar_747 7 6 10.99 747
Hastkar_748 7 5 9.80 748
Hastkar_749 5 5 8.47 749
Hastkar_750 8 5 10.08 750
Hastkar_751 4 5 7.27 751
Hastkar_752 6 5 7.53 752
Hastkar_753 7 5 11.45 753
Hastkar_754 6 5 12.40 754
Hastkar_755 6 5 15.83 755
Hastkar_756 7 6 13.23 756
Hastkar_757 6 6 10.59 757
Hastkar_758 8 5 14.17 758
Hastkar_759 6 6 9.46 759
Hastkar_760 5 5 13.43 760
Hastkar_761 7 6 8.17 761
Hastkar_762 4 5 7.31 762
Hastkar_763 5 5 8.69 763
Hastkar_764 4 5 7.74 764
Hastkar_765 5 6 7.00 765
Hastkar_766 5 5 14.41 766
Hastkar_767 9 5 11.90 767
Hastkar_768 7 6 8.03 768
Hastkar_769 6 6 10.50 769
Hastkar_770 6 5 12.05 770
Hastkar_771 5 5 10.71 771
Hastkar_772 4 5 9.44 772
Hastkar_773 7 5 6.18 773
Hastkar_774 5 5 7.31 774
Hastkar_775 6 5 10.51 775
Hastkar_776 6 5 10.45 776
Hastkar_777 6 5 13.44 777
Hastkar_778 5 5 8.89 778
Hastkar_779 5 6 3.44 779
Hastkar_780 7 5 7.52 780
Hastkar_781 7 5 6.63 781
Hastkar_782 8 5 13.92 782
Hastkar_783 8 5 8.82 783
Hastkar_784 5 5 9.93 784
Hastkar_785 4 5 7.49 785
Hastkar_786 5 8A 0.39 786
Hastkar_787 6 5 9.34 787
Hastkar_788 7 5 13.87 788
Hastkar_789 7 6 8.12 789
Hastkar_790 4 5 4.21 790
Hastkar_791 6 5 6.23 791
Hastkar_792 5 4 4.78 792
Hastkar_793 7 5 7.42 793
Hastkar_794 5 5 6.99 794
Hastkar_795 7 9 NA 795
Hastkar_796 7 5 11.04 796
Hastkar_797 6 5 18.35 797
Hastkar_798 5 5 8.07 798
Hastkar_799 5 5 16.82 799
Hastkar_800 5 5 7.17 800
Hastkar_801 8 5 12.02 801
Hastkar_802 6 5 8.39 802
Hastkar_803 8 5 9.47 803
Hastkar_804 6 5 7.06 804
Hastkar_805 9 6 10.25 805
Hastkar_806 4 6 6.45 806
Hastkar_807 6 6 4.16 807
Hastkar_808 5 5 5.80 808
Hastkar_809 6 5 9.31 809
Hastkar_810 7 5 6.39 810
Hastkar_811 6 6 12.25 811
Hastkar_812 8 6 6.64 812
Hastkar_813 5 5 6.00 813
Hastkar_814 7 6 7.20 814
Hastkar_815 6 6 7.32 815
Hastkar_816 7 5 10.00 816
Hastkar_817 4 6 7.32 817
Hastkar_818 5 6 3.11 818
Hastkar_819 6 9 NA 819
Hastkar_820 11 5 8.15 820
Hastkar_821 4 5 5.39 821
Hastkar_822 8 5 13.14 822
Hastkar_823 3 5 5.89 823
Hastkar_824 6 5 6.93 824
Hastkar_825 7 5 9.60 825
Hastkar_826 5 6 4.96 826
Hastkar_827 6 5 3.02 827
Hastkar_828 5 4 1.60 828
Hastkar_829 5 5 10.61 829
Hastkar_830 6 5 7.51 830
Hastkar_831 7 5 8.13 831
Hastkar_832 8 5 8.15 832
Hastkar_833 4 4 5.71 833
Hastkar_834 5 6 6.55 834
Hastkar_835 8 5 6.89 835
Hastkar_836 5 5 13.44 836
Hastkar_837 5 4 4.04 837
Hastkar_838 9 5 14.38 838
Hastkar_839 9 5 5.77 839
Hastkar_840 5 5 8.45 840
Hastkar_841 10 5 13.22 841
Hastkar_842 6 5 8.76 842
Hastkar_843 7 5 13.58 843
Hastkar_844 6 5 10.13 844
Hastkar_845 7 5 10.77 845
Hastkar_846 8 5 10.52 846
Hastkar_847 6 6 17.49 847
Hastkar_848 4 5 5.06 848
Hastkar_849 9 5 7.38 849
Hastkar_850 7 5 14.15 850
Hastkar_851 7 5 13.76 851
Hastkar_852 6 5 8.56 852
Hastkar_853 5 5 5.91 853
Hastkar_854 5 5 6.60 854
Hastkar_855 7 5 4.53 855
Hastkar_856 6 5 9.42 856
Hastkar_857 7 5 5.68 857
Hastkar_858 4 5 7.12 858
Hastkar_859 6 5 9.82 859
Hastkar_860 6 5 13.87 860
Hastkar_861 6 5 12.17 861
Hastkar_862 5 5 11.31 862
Hastkar_863 6 6 6.67 863
Hastkar_864 6 5 7.63 864
Hastkar_865 5 6 8.87 865
Hastkar_866 7 6 7.44 866
Hastkar_867 5 6 11.77 867
Hastkar_868 6 5 9.50 868
Hastkar_869 5 5 2.34 869
Hastkar_870 4 6 7.94 870
Hastkar_871 6 7 2.36 871
Hastkar_872 7 5 12.07 872
Hastkar_874 5 6 9.60 874
Hastkar_875 7 5 9.27 875
Hastkar_876 5 6 12.13 876
Hastkar_877 4 6 11.27 877
Hastkar_878 4 6 9.67 878
Hastkar_879 6 5 17.12 879
Hastkar_880 5 6 14.90 880
Hastkar_881 6 6 9.18 881
Hastkar_888 6 5 11.13 888
Hastkar_889 6 5 13.57 889
Hastkar_890 6 4 2.83 890
Hastkar_892 5 5 9.83 892
Hastkar_893 6 6 NA 893
Hastkar_894 4 6 8.08 894
Hastkar_895 4 5 8.73 895
Hastkar_896 6 5 9.38 896
Hastkar_897 6 5 8.40 897
Hastkar_898 8 6 9.34 898
Hastkar_899 5 5 7.90 899
Hastkar_900 4 5 4.33 900
Hastkar_901 6 5 9.88 901
Hastkar_902 5 5 8.54 902
Hastkar_903 6 5 9.27 903
Hastkar_904 6 5 7.03 904
Hastkar_905 5 6 9.69 905
Hastkar_906 5 5 5.42 906
Hastkar_907 6 5 12.07 907
Hastkar_908 5 5 4.74 908
Hastkar_909 6 5 15.99 909
Hastkar_910 7 5 9.85 910
Hastkar_911 6 5 11.65 911
Hastkar_912 7 5 9.52 912
Hastkar_913 6 5 8.38 913
Hastkar_914 6 5 8.03 914
Hastkar_915 6 4 2.46 915
Hastkar_916 7 5 10.88 916
Hastkar_917 5 5 10.15 917
Hastkar_918 6 5 14.99 918
Hastkar_919 6 6 10.22 919
Hastkar_920 5 5 9.58 920
Hastkar_921 6 5 10.94 921
Hastkar_922 6 6 6.80 922
Hastkar_923 9 6 9.97 923
Hastkar_924 7 5 10.14 924
Hastkar_925 7 6 5.89 925
Hastkar_926 4 5 13.17 926
Hastkar_927 4 5 7.12 927
Hastkar_928 5 5 9.77 928
Hastkar_929 10 6 4.55 929
Hastkar_930 6 5 4.96 930
Hastkar_931 7 5 7.00 931
Hastkar_932 7 6 5.38 932
Hastkar_933 7 5 5.67 933
Hastkar_934 5 6 4.27 934
Hastkar_935 9 6 7.05 935
Hastkar_936 10 5 11.43 936
Hastkar_937 9 6 7.74 937
Hastkar_938 7 6 9.49 938
Hastkar_939 7 5 8.21 939
Hastkar_940 6 5 4.23 940
Hastkar_941 4 5 13.71 941
Hastkar_942 6 6 6.33 942
