,sex,age
1701-947,1,6
1701-967,1,7
1707-1,1,5
1707-10,1,7
1707-100,1,5
1707-101,1,5
1707-102,1,6
1707-104,1,7
1707-105,1,5
1707-106,1,6
1707-107,1,7
1707-108,1,6
1707-109,1,5
1707-11,1,10
1707-110,1,6
1707-111,1,5
1707-112,1,5
1707-113,1,7
1707-114,1,4
1707-115,1,5
1707-116,1,7
1707-117,1,4
1707-118,1,4
1707-119,1,7
1707-12,1,4
1707-121,1,5
1707-122,1,5
1707-123,1,7
1707-124,1,6
1707-125,1,6
1707-126,1,7
1707-127,1,6
1707-128,1,6
1707-129,1,4
1707-13,1,7
1707-130,1,5
1707-131,1,4
1707-132,1,7
1707-133,1,6
1707-134,1,8
1707-135,1,6
1707-136,1,6
1707-137,1,5
1707-138,1,7
1707-139,1,6
1707-14,1,7
1707-140,1,5
1707-141,1,4
1707-142,1,4
1707-143,1,6
1707-144,1,5
1707-145,1,5
1707-146,1,4
1707-147,1,5
1707-148,1,5
1707-149,1,6
1707-15,1,6
1707-150,1,6
1707-151,1,6
1707-152,1,5
1707-153,1,5
1707-154,1,7
1707-155,1,6
1707-156,1,4
1707-157,1,7
1707-158,1,8
1707-159,1,8
1707-16,1,5
1707-160,1,5
1707-161,1,6
1707-162,1,9
1707-163,1,7
1707-164,1,8
1707-165,1,6
1707-166,1,9
1707-167,1,8
1707-168,1,8
1707-169,1,9
1707-17,1,6
1707-170,1,5
1707-171,1,8
1707-172,1,6
1707-173,1,7
1707-174,1,6
1707-175,1,6
1707-176,1,7
1707-177,1,5
1707-178,1,4
1707-179,1,6
1707-18,1,5
1707-180,1,4
1707-181,1,5
1707-182,1,7
1707-183,1,4
1707-184,1,6
1707-185,1,6
1707-186,1,6
1707-187,1,4
1707-188,1,6
1707-189,1,5
1707-19,1,6
1707-190,1,6
1707-191,1,6
1707-192,1,5
1707-193,1,5
1707-194,1,5
1707-195,1,6
1707-196,1,6
1707-197,1,6
1707-198,1,8
1707-199,1,5
1707-2,1,5
1707-20,1,8
1707-200,1,5
1707-201,1,8
1707-202,1,8
1707-203,1,8
1707-204,1,5
1707-205,1,7
1707-206,1,9
1707-207,1,6
1707-208,1,6
1707-209,1,9
1707-21,1,4
1707-211,1,6
1707-212,1,5
1707-213,1,9
1707-214,1,9
1707-215,1,8
1707-216,1,8
1707-217,1,8
1707-218,1,7
1707-219,1,7
1707-22,1,4
1707-220,1,6
1707-221,1,8
1707-222,1,7
1707-223,1,4
1707-224,1,4
1707-225,1,6
1707-226,1,6
1707-227,1,6
1707-228,1,5
1707-229,1,7
1707-23,1,8
1707-231,1,7
