,body_length
1701-947,22.8
1701-967,20.4
1707-1,21
1707-10,21.7
1707-100,21
1707-101,18.9
1707-102,19.2
1707-104,20.9
1707-105,19.1
1707-106,19.6
1707-107,21.9
1707-108,21.6
1707-109,20.8
1707-11,20.2
1707-110,19.8
1707-111,19.3
1707-112,19.4
1707-113,19.9
1707-114,16.4
1707-115,21.1
1707-116,21.2
1707-117,19.6
1707-118,22.5
1707-119,20.9
1707-12,24.2
1707-121,18.9
1707-122,20.4
1707-123,22.5
1707-124,22.5
1707-125,20.9
1707-126,21
1707-127,21.7
1707-128,22
1707-129,25.7
1707-13,21.5
1707-130,20.5
1707-131,19.5
1707-132,22.4
1707-133,20.4
1707-134,20.5
1707-135,22
1707-136,29
1707-137,20.8
1707-138,19.5
1707-139,20.8
1707-14,20.5
1707-140,19.1
1707-141,19.7
1707-142,20.6
1707-143,20.9
1707-144,19.8
1707-145,19.8
1707-146,18.6
1707-147,19.5
1707-148,20.5
1707-149,20
1707-15,20
1707-150,19.4
1707-151,21.5
1707-152,21.4
1707-153,18.4
1707-154,19.7
1707-155,23.5
1707-156,21.3
1707-157,21
1707-158,20.8
1707-159,19.7
1707-16,19.5
1707-160,21.5
1707-161,19.2
1707-162,21.4
1707-163,20.5
1707-164,20.2
1707-165,19
1707-166,21.1
1707-167,21.6
1707-168,19.8
1707-169,22.1
1707-17,20.3
1707-170,18.8
1707-171,20.7
1707-172,19.3
1707-173,20.1
1707-174,19.6
1707-175,20.7
1707-176,22.9
1707-177,20.6
1707-178,21.4
1707-179,21.5
1707-18,20
1707-180,18.8
1707-181,20
1707-182,20.2
1707-183,20.3
1707-184,20.8
1707-185,19.5
1707-186,18.7
1707-187,18.2
1707-188,21.4
1707-189,19.7
1707-19,19.5
1707-190,20.7
1707-191,20.7
1707-192,22.4
1707-193,20.5
1707-194,21.6
1707-195,21.9
1707-196,21.2
1707-197,19.2
1707-198,21.8
1707-199,20.3
1707-2,19.5
1707-20,19.5
1707-200,20.9
1707-201,20.2
1707-202,21.6
1707-203,19.9
1707-204,20.4
1707-205,20.2
1707-206,23
1707-207,21.9
1707-208,21.4
1707-209,20.7
1707-21,24
1707-211,21.8
1707-212,22.2
1707-213,20.2
1707-214,19.3
1707-215,19.4
1707-216,20.1
1707-217,21.5
1707-218,20.2
1707-219,20.3
1707-22,24
1707-220,21.7
1707-221,19.4
1707-222,20.7
1707-223,20.8
1707-224,21
1707-225,19.7
1707-226,19.7
1707-227,20.1
1707-228,20.4
1707-229,20.6
1707-23,20.5
1707-231,19.6
1707-232,21.2
1707-233,19.1
1707-234,20.6
1707-235,21.1
1707-236,21.7
1707-237,18.7
1707-238,19.6
1707-239,20.5
1707-240,18.8
1707-241,19.5
1707-242,19.7
1707-243,20.5
1707-244,20.6
1707-245,22.5
1707-246,21.6
1707-248,20.6
1707-249,20.5
1707-25,19
1707-250,18.5
1707-251,20.5
1707-252,23
1707-253,21.1
1707-254,18.4
1707-255,20.4
1707-256,20.1
1707-257,30.5
1707-258,19.4
1707-259,20.4
1707-26,20
1707-260,20.2
1707-261,19
1707-264,19.8
1707-265,20.3
1707-266,21.7
1707-267,20.5
1707-268,19.5
1707-269,21.4
1707-27,19
1707-270,19.4
1707-271,19.4
1707-272,18.6
1707-273,20.5
1707-274,21.4
1707-275,20.4
1707-276,20.6
1707-277,21.2
1707-278,18.2
1707-279,20.6
1707-28,24.3
1707-280,17.3
1707-281,22.5
1707-282,21.4
1707-283,18.9
1707-284,19.6
1707-285,21.4
1707-286,21.2
1707-287,19.4
1707-288,22.4
1707-289,21
1707-29,21.2
1707-290,21.5
1707-291,20.9
1707-292,19.9
1707-293,17.9
1707-294,21.2
1707-295,19.2
1707-296,20.5
1707-297,19.2
1707-298,20.6
1707-299,19.5
1707-3,19.8
1707-30,21.5
1707-300,21.6
1707-301,21.6
1707-302,20.9
1707-303,20.7
1707-304,20.2
1707-305,19.9
1707-306,21.4
1707-307,20.2
1707-308,21.6
1707-309,22.1
1707-31,20.5
1707-310,20.6
1707-311,19.9
1707-312,20
1707-313,18.1
1707-314,19.8
1707-315,17.5
1707-316,19.8
1707-317,21
1707-318,21.1
1707-319,19.8
1707-32,23.5
1707-320,26.4
1707-321,21.2
1707-322,20.7
1707-323,20.5
1707-324,20.9
1707-325,22.9
1707-326,20.4
1707-327,19.1
1707-328,21.6
1707-329,22.3
1707-33,20.8
1707-330,20.2
1707-331,19.4
1707-332,21.4
1707-333,19.9
1707-334,21.4
1707-335,20.4
1707-336,21.3
1707-337,22.5
1707-338,21.3
1707-339,19.4
1707-340,20.6
1707-342,21
1707-343,20.4
1707-344,19.2
1707-345,24.7
1707-346,20.6
1707-347,19.6
1707-348,21
1707-349,21.1
1707-35,20
1707-350,20.9
1707-351,21
1707-352,19.2
1707-353,19.6
1707-354,19.7
1707-355,21
1707-357,21.3
1707-358,20.4
1707-359,20.5
1707-36,21.1
1707-360,19.6
1707-361,19.8
1707-363,21.1
1707-364,20.3
1707-365,20.8
1707-366,19.4
1707-367,19
1707-368,21.3
1707-37,19.6
1707-370,19.6
1707-371,21.3
1707-372,19.6
1707-373,21.4
1707-374,18.4
1707-375,19.8
1707-376,20.9
1707-377,21.8
1707-378,20.8
1707-379,22.8
1707-38,20.4
1707-380,21.2
1707-381,20.4
1707-382,20.4
1707-383,21.9
1707-385,22.6
1707-386,20.5
1707-387,18.8
1707-388,23.4
1707-389,20.8
1707-39,18.9
1707-390,20.1
1707-391,20
1707-392,20.4
1707-393,19.6
1707-394,19.9
1707-395,19.6
1707-396,20.4
1707-397,20.9
1707-398,19.7
1707-399,21.1
1707-4,20
1707-40,24.5
1707-400,22.7
1707-401,19.3
1707-402,19.5
1707-403,21.2
1707-404,20.2
1707-405,21.6
1707-406,18.6
1707-407,20.1
1707-408,20
1707-409,20.2
1707-41,20.5
1707-410,22.6
1707-411,20.7
1707-412,20.4
1707-413,20.9
1707-414,19.3
1707-415,19.4
1707-416,19.3
1707-417,19
1707-418,19.9
1707-419,19.1
1707-42,21
1707-420,19.5
1707-421,19.9
1707-422,19.5
1707-423,24.7
1707-424,21.1
1707-425,20.2
1707-426,19.9
1707-427,20.5
1707-428,20.4
1707-429,24.9
1707-430,21.4
1707-431,18.4
1707-432,20.2
1707-433,20
1707-434,22.1
1707-435,20.9
1707-436,19.9
1707-437,21.4
1707-438,19.9
1707-439,18.9
1707-44,19.9
1707-440,20.5
1707-441,19.9
1707-442,21.4
1707-443,20.2
1707-444,17.7
1707-445,20.4
1707-446,21.1
1707-447,21.3
1707-448,19.1
1707-449,21.7
1707-45,20
1707-450,21.5
1707-451,21.3
1707-452,21.9
1707-453,19.1
1707-454,24.9
1707-455,20.2
1707-456,21.2
1707-457,24.2
1707-46,20.9
1707-47,19
1707-48,20.5
1707-49,20.3
1707-5,27.8
1707-50,21.5
1707-51,20
1707-52,21
1707-54,22.9
1707-55,23.9
1707-56,19.8
1707-57,19.6
1707-58,22
1707-59,20.4
1707-6,20.5
1707-60,17.6
1707-61,20.6
1707-62,20.5
1707-63,21.3
1707-64,19.2
1707-65,21
1707-66,21.6
1707-67,21.4
1707-68,20.5
1707-69,21
1707-7,21.8
1707-70,21.1
1707-71,20.5
1707-72,19.4
1707-73,25.4
1707-74,23.5
1707-75,20.4
1707-76,21
1707-77,19.4
1707-78,20.1
1707-79,21
1707-8,22.8
1707-80,20.9
1707-81,20.8
1707-82,19.8
1707-83,20.8
1707-84,19.9
1707-85,20.3
1707-87,20.2
1707-88,19.5
1707-89,21.4
1707-90,20.4
1707-91,20.9
1707-92,20.1
1707-93,19.2
1707-94,19.9
1707-95,20
1707-96,21.4
1707-97,22
1707-98,21.7
1707-99,20.2
1701-501,20
1701-502,19
1701-503,23.5
1701-504,21.5
1701-505,21.6
1701-506,20.8
1701-507,23
1701-508,22.5
1701-509,20
1701-510,19
1701-511,26.6
1701-512,21.3
1701-513,20.8
1701-514,20.1
1701-515,24.1
1701-516,21
1701-517,19.3
1701-518,20
1701-519,22.2
1701-520,19.5
1701-521,22.5
1701-522,21.5
1701-523,20
1701-524,20.5
1701-525,21.6
1701-526,19.6
1701-527,20.6
1701-528,27.1
1701-529,20.3
1701-530,20.1
1701-531,22.4
1701-532,19.4
1701-533,21
1701-534,20.1
1701-535,21.1
1701-536,25.5
1701-537,21.3
1701-538,21.4
1701-539,22
1701-540,21.8
1701-541,20.5
1701-542,19.8
1701-543,21
1701-544,21.5
1701-545,19.6
1701-546,20.6
1701-547,20.9
1701-548,21.6
1701-549,21.5
1701-550,22.9
1701-551,19.9
1701-552,19.3
1701-553,21.8
1701-554,21
1701-555,21.2
1701-556,21.4
1701-557,20
1701-558,19.9
1701-559,20
1701-560,19.3
1701-561,22.9
1701-562,21.9
1701-563,20.6
1701-564,24.2
1701-565,20.7
1701-566,19.8
1701-567,19.1
1701-568,20.9
1701-569,20.5
1701-570,21.4
1701-571,20.8
1701-572,21.5
1701-573,20.9
1701-574,24.3
1701-575,21
1701-576,19.9
1701-577,20
1701-578,19.8
1701-579,22.2
1701-580,21.7
1701-581,21.4
1701-582,20.4
1701-583,19.8
1701-584,19.9
1701-585,30.5
1701-586,26.1
1701-587,25.3
1701-588,20
1701-589,20.2
1701-590,20
1701-591,21.6
1701-592,18.6
1701-593,25.2
1701-594,18.9
1701-595,20
1701-596,22.2
1701-597,20.8
1701-598,21.1
1701-599,18.9
1701-600,21.3
1701-601,21.4
1701-602,22
1701-603,21.7
1701-604,19.6
1701-605,20.2
1701-606,21.1
1701-607,19.5
1701-608,19.9
1701-609,23.9
1701-610,19.9
1701-611,21.8
1701-612,19.9
1701-613,19.8
1701-614,18.4
1701-615,23.6
1701-616,18.6
1701-617,21.8
1701-618,19.8
1701-619,22.7
1701-620,19.5
1701-621,19.1
1701-622,19.8
1701-623,23.7
1701-624,19.9
1701-625,21.6
1701-626,23.2
1701-627,20.3
1701-628,24.1
1701-629,24.6
1701-630,22.9
1701-631,21.4
1701-632,19.6
1701-633,19.3
1701-634,21.3
1701-636,20.8
1701-637,21.2
1701-638,21.8
1701-639,24.6
1701-640,19.7
1701-641,22.7
1701-642,21.4
1701-643,19.7
1701-644,19.6
1701-645,19.1
1701-646,21.4
1701-647,20.7
1701-648,22.1
1701-649,21.9
1701-650,20.1
1701-651,21.9
1701-652,21.2
1701-653,24.6
1701-654,24
1701-655,20.9
1701-656,21
1701-657,21.5
1701-658,21.1
1701-659,19.9
1701-660,19.3
1701-661,21.9
1701-662,21
1701-663,23.6
1701-664,20.1
1701-665,20.7
1701-666,25.4
1701-667,18
1701-669,24.3
1701-670,19.7
1701-671,21.3
1701-672,20.8
1701-673,20.3
1701-674,20
1701-675,19.7
1701-676,20.3
1701-677,21
1701-678,20
1701-679,19
1701-680,21.7
1701-681,20.4
1701-682,22.2
1701-683,21
1701-684,21.5
1701-685,20
1701-686,20.2
1701-687,21.5
1701-688,20.7
1701-689,19.9
1701-690,22.8
1701-691,20.8
1701-692,20.4
1701-693,21.9
1701-694,19.5
1701-695,18.2
1701-696,22.5
1701-697,19.6
1701-698,20.5
1701-699,20.4
1701-700,21.6
1701-701,20.6
1701-702,22
1701-703,20
1701-704,19.4
1701-705,19.1
1701-706,20.6
1701-707,20.5
1701-708,16.9
1701-709,21.3
1701-710,18.9
1701-711,20.6
1701-712,19.8
1701-713,21.1
1701-714,21.6
1701-715,19
1701-716,21.2
1701-717,20.7
1701-718,21.5
1701-719,21.2
1701-720,20.4
1701-721,21.6
1701-722,24.9
1701-723,19.6
1701-724,19.9
1701-725,20.9
1701-726,20.9
1701-727,21.1
1701-728,21
1701-729,20.2
1701-730,29.5
1701-731,20.3
1701-732,20.8
1701-733,19.8
1701-734,23.6
1701-735,21.9
1701-736,21.2
1701-737,18.8
1701-738,20.2
1701-739,20.5
1701-741,21.4
1701-742,20.6
1701-743,20.8
1701-744,20.7
1701-745,20.6
1701-746,20.6
1701-747,20.2
1701-748,21.3
1701-749,21.4
1701-750,20
1701-751,22.2
1701-752,20.7
1701-753,20.6
1701-754,21.9
1701-755,20.3
1701-756,20.5
1701-757,20.3
