sample.id	location	region	spawning.season
AAL1	CelticSea	Atlantic	Winter
AAL2	CelticSea	Atlantic	Winter
AAL3	Celticsea	Atlantic	Winter
AF29	Norway	Atlantic	Spring
AF30	Norway	Atlantic	Spring
AF31	NA	Atlantic	Spring
AF8	Norway	Atlantic	Spring
AK1	Downs	Atlantic	Winter
AK2	Downs	Atlantic	Winter
AK3	Downs	Atlantic	Winter
AM27	Norway	Atlantic	Spring
AM29	Norway	Atlantic	Spring
AM33	Norway	Atlantic	Spring
AM8	Norway	Atlantic	Spring
BF16	HastKar	Baltic	Spring
BF18	HastKar	Baltic	Spring
BF19	HastKar	Baltic	Spring
BF21	HastKar	Baltic	Spring
BM14	HastKar	Baltic	Spring
BM15	HastKar	Baltic	Spring
BM16	HastKar	Baltic	Spring
BM19	HastKar	Baltic	Spring
F3L312	Canada	Atlantic	Autumn
F3L337	Canada	Atlantic	Autumn
F4TH327	Canada	Atlantic	Autumn
F4TH337	Canada	Atlantic	Autumn
F4XQgb402	Canada	Atlantic	Autumn
F4XQgb408	Canada	Atlantic	Autumn
Fehmarn3	Fehmarn	Baltic	Autumn
Fehmarn44	Fehmarn	Baltic	Autumn
Fehmarn6	Fehmarn	Baltic	Autumn
Gavle100	Gavle	Baltic	Autumn
Gavle54	Gavle	Baltic	Autumn
Gavle98	Gavle	Baltic	Autumn
HWS11	Japan	SeaofJapan	NA
HWS12	Japan	SeaofJapan	NA
HWS13	Japan	SeaofJapan	NA
HWS14	Japan	SeaofJapan	NA
HWS21	PechoraSea	BarentsSea	NA
HWS22	PechoraSea	BarentsSea	NA
HWS23	PechoraSea	BarentsSea	NA
HWS24	PechoraSea	BarentsSea	NA
HWS31	WhiteSea	WhiteSea	NA
HWS32	WhiteSea	WhiteSea	NA
HWS33	WhiteSea	WhiteSea	NA
HWS34	WhiteSea	WhiteSea	NA
HWS41	KandalakshaBay	WhiteSea	Spring
HWS42	KandalakshaBay	WhiteSea	Spring
HWS43	KandalakshaBay	WhiteSea	Spring
HWS44	KandalakshaBay	WhiteSea	Spring
HWS51	KandalakshaBay	WhiteSea	Summer
HWS52	KandalakshaBay	WhiteSea	Summer
HWS53	KandalakshaBay	WhiteSea	Summer
HWS54	KandalakshaBay	WhiteSea	Summer
HWS61	Balsfjord	Atlantic	NA
HWS62	Balsfjord	Atlantic	NA
HWS63	Balsfjord	Atlantic	NA
HWS64	Balsfjord	Atlantic	NA
NorthSea13	NorthSea	Atlantic	Autumn
NorthSea19	NorthSea	Atlantic	Autumn
NorthSea34	NorthSea	Atlantic	Autumn
NSSH33	Norway	Atlantic	Spring
NSSH34	Norway	Atlantic	Spring
NSSH36	Norway	Atlantic	Spring
Pacific16	Vancouver	Pacific	NA
Pacific30	Vancouver	Pacific	NA
Pacific35	Vancouver	Pacific	NA
Pacific3	Vancouver	Pacific	NA
Pacific44	Vancouver	Pacific	NA
Pacific5	Vancouver	Pacific	NA
S3Ps246	Canada	Atlantic	Spring
S3Ps259	Canada	Atlantic	Spring
S4TH231	Canada	Atlantic	Spring
S4TH244	Canada	Atlantic	Spring
S4TM205	Canada	Atlantic	Spring
S4TM211	Canada	Atlantic	Spring
Z12	IsleofMan	Atlantic	Autumn
Z14	IsleofMan	Atlantic	Autumn
Z4	IsleofMan	Atlantic	Autumn
