pos	chr	cM
100000	20	1.09273424804169
200000	20	1.89594526536088
300000	20	2.61319636988807
400000	20	2.74811494364271
500000	20	2.86482758293236
600000	20	2.98198633957167
700000	20	3.08691260323479
800000	20	3.14242546560783
900000	20	3.28632919174821
1000000	20	3.4310300164627
1100000	20	3.72710013831809
1200000	20	4.29616783328932
1300000	20	4.66502827841882
1400000	20	5.09179319750477
1500000	20	5.49555968801346
1600000	20	5.90331178370214
1700000	20	6.30547668511224
1800000	20	6.71274933832722
1900000	20	7.11017708926311
2000000	20	7.51948718855978
2100000	20	7.92842571090227
2200000	20	8.3385992467949
2300000	20	8.7373067620007
2400000	20	9.14469924347281
2500000	20	9.63702334799247
2600000	20	10.3614885958769
2700000	20	11.0986497372813
2800000	20	11.5422757134109
2900000	20	11.999344677295
3000000	20	12.4565617232022
3100000	20	12.91885135574
3200000	20	13.3746306907412
3300000	20	13.7778474266018
3400000	20	14.005495836177
3500000	20	14.2760408962368
3600000	20	14.6173367803179
3700000	20	15.1387205201457
3800000	20	15.5937083922229
3900000	20	16.0506816815788
4000000	20	16.5024771707418
4100000	20	16.9676313639362
4200000	20	17.4123762857969
4300000	20	17.8882245775612
4400000	20	18.3292232562591
4500000	20	18.7808795869566
4600000	20	19.2306436909654
4700000	20	19.6922560062299
4800000	20	20.1473438661415
4900000	20	20.593849460184
5000000	20	21.0446862952496
5100000	20	21.4928164085845
5200000	20	21.8722468138361
5300000	20	22.25677758547
5400000	20	22.6418566046244
5500000	20	23.02777058288
5600000	20	23.4119829562365
5700000	20	23.7948045541743
5800000	20	24.1835085079601
5900000	20	24.5629402375582
6000000	20	24.6926917026984
6100000	20	24.8115876293931
6200000	20	24.93365582782
6300000	20	25.0467501244648
6400000	20	25.1642606336586
6500000	20	25.2916324245832
6600000	20	25.4563970392322
6700000	20	25.7692876486763
6800000	20	26.1294682442961
6900000	20	26.3013541286118
7000000	20	26.4565717296532
7100000	20	26.560552909228
7200000	20	26.7077085040181
7300000	20	26.8556531169615
7400000	20	27.1011204917915
7500000	20	27.5163867812062
7700000	20	27.7729732193521
7800000	20	27.9299840061633
7900000	20	28.0895197899167
8000000	20	28.2479704706954
8100000	20	28.4052488237371
8200000	20	28.5637510497352
8300000	20	28.6933781716149
8400000	20	28.8046233635811
8500000	20	28.9074152277605
8600000	20	29.0467260173756
8700000	20	29.1286819637264
8800000	20	29.177398505675
8900000	20	29.2260827821696
9000000	20	29.3457887455028
9100000	20	29.3970140854233
9200000	20	29.4577918530981
9300000	20	29.5066961655557
9400000	20	29.5736499277939
9500000	20	29.6402338294691
9600000	20	29.7099416271723
9700000	20	29.7756959712081
9800000	20	29.8405261342156
9900000	20	29.9055008671649
10000000	20	29.9734519585307
10100000	20	30.0486533142453
10200000	20	30.1126820063247
10300000	20	30.1755809794957
10400000	20	30.2151727127669
10500000	20	30.2397956634554
10600000	20	30.2754722369493
10700000	20	30.3221265251851
10800000	20	30.4029067231823
10900000	20	30.5174975886038
11000000	20	30.5857020558927
11100000	20	30.6486353569614
11200000	20	30.6796525252019
11300000	20	30.7148743945686
11400000	20	30.7581606478238
11900000	20	30.7929900034982
12000000	20	30.8041463233626
12100000	20	30.8317033926878
12200000	20	30.8751613345388
12300000	20	30.9030835840008
12400000	20	30.9464520231512
12500000	20	30.9612627276497
12600000	20	30.9669564213375
12700000	20	30.9699816197547
12800000	20	30.9886277374907
12900000	20	31.000914627041
13000000	20	31.0299077382824
13100000	20	31.0643704681881
13200000	20	31.0694907000662
13300000	20	31.0740217652073
13700000	20	31.0801326512926
13800000	20	31.0939843661748
13900000	20	31.1006067010006
14000000	20	31.1066357813663
14100000	20	31.1249093938518
14200000	20	31.1284234869114
14300000	20	31.131440795107
14400000	20	31.173784346733
14500000	20	31.2738173917616
14800000	20	31.3379752162765
15000000	20	31.5870804451829
15100000	20	31.831670358829
15200000	20	31.9485888072773
16000000	20	31.9525281267921
16100000	20	31.959786417929
16200000	20	31.9891801115628
16300000	20	32.0075891879481
16400000	20	32.0451663646062
16500000	20	32.0677814880508
16600000	20	32.0983110859213
16700000	20	32.1204386512357
16800000	20	32.1551163467848
16900000	20	32.1959147517878
17000000	20	32.3540035840296
17100000	20	32.3852081903758
17200000	20	32.4245885673358
17300000	20	32.474852016436
17400000	20	32.5149807805244
17500000	20	32.5557317031063
17600000	20	32.6399136192037
17700000	20	32.7139750749425
17800000	20	32.7874173081827
17900000	20	32.8671291923564
18000000	20	32.9821597948525
18100000	20	33.1024848573219
18200000	20	33.2128289893947
18300000	20	33.328691147066
18400000	20	33.4400567176353
18500000	20	33.5308081674612
18600000	20	33.6253823606974
18700000	20	33.6814096163365
18800000	20	33.7260021005423
18900000	20	33.791068857814
19000000	20	33.884953817773
19200000	20	34.0876495770389
19300000	20	34.2575103501747
19400000	20	34.3352839831104
19500000	20	34.4268288511873
19600000	20	34.5932915321716
19700000	20	34.7538450321123
19800000	20	34.9103241019607
19900000	20	35.064637933884
20000000	20	35.2147984764497
20100000	20	35.3866330694663
20200000	20	35.5422348261953
20300000	20	35.6978707930232
20400000	20	35.8544129994804
20500000	20	36.0120383037361
20600000	20	36.176975583643
20700000	20	36.3249135321996
20800000	20	36.491782416761
20900000	20	36.639088585227
21000000	20	36.7922237465254
21100000	20	36.9483053064685
21200000	20	37.1225041301858
21300000	20	37.2669392299811
21400000	20	37.4742796134185
21500000	20	37.7854888474634
21600000	20	38.0428558189834
21700000	20	38.3136188254865
21800000	20	38.5598088541139
21900000	20	38.7106071016505
22000000	20	38.8557827844764
22100000	20	39.0195838744028
22200000	20	39.451930337207
22300000	20	39.8465673666524
22400000	20	40.145919345934
22500000	20	40.776925611245
22600000	20	41.2700544215613
22700000	20	41.8262474993492
22800000	20	42.4483814373619
22900000	20	42.9804112762255
23000000	20	43.5379091535006
23100000	20	44.1108091688968
23200000	20	44.6908088616133
23300000	20	45.2624295610872
23400000	20	45.8363994211724
23500000	20	46.449920255023
23600000	20	46.9960732481178
23700000	20	47.5854982464479
23800000	20	48.1568521645965
23900000	20	48.7129132832964
24000000	20	49.2828855472011
24100000	20	49.8575147982194
24200000	20	50.7006862376899
24300000	20	51.1679510577048
24400000	20	51.6535426156204
24500000	20	52.3902603841355
24600000	20	53.1154286804731
24700000	20	53.8433161868487
24800000	20	54.5224856275316
24900000	20	54.9880811839881
25000000	20	55.436222157069
25100000	20	55.8996696840948
25200000	20	56.3291050161687
25300000	20	56.7813269327712
25400000	20	57.2332571748127
25500000	20	57.6898252660355
25600000	20	58.1332436420638
25700000	20	58.5802079341181
25800000	20	59.0265007517356
25900000	20	59.4764950640957
26000000	20	59.9171733326635
26100000	20	60.3618916219015
26200000	20	60.8109157764563
26300000	20	61.2495938984416
26400000	20	61.6929821813954
26500000	20	62.1231413304189
26600000	20	62.363
